t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
25.00000000,4.36047553,1.07146076,-1.08932623,-0.77076283,-0.05175766,0.80823622,0.0561877832,0.0560646831,10.95068092
25.20000000,4.34399472,0.91411739,-1.00441419,0.79052807,-0.75783814,-0.22527031,0.0534043668,0.0560506083,11.35514912
25.40000000,4.50229861,0.97125543,-1.08073257,0.24571359,1.08733668,-0.08557896,0.0590650052,0.0561828114,10.15626147
25.60000000,4.41639700,1.10612291,-0.98015573,-0.68530551,-0.22002506,0.85553803,0.0555790838,0.0561392276,10.53756789
25.80000000,4.42727874,0.94624605,-0.88611921,0.89890087,-0.65995310,-0.08024419,0.0531501973,0.0560013366,10.73486122
26.00000000,4.60360997,1.00882388,-0.92509530,0.35786260,1.05861204,0.03570552,0.0596068115,0.0562178926,9.51560984
26.20000000,4.53314082,1.15922254,-0.82261981,-0.73148320,-0.00635626,0.84551281,0.0564211534,0.0562849636,9.73664605
26.40000000,4.50252662,1.01918389,-0.69305577,0.68309852,-0.84371268,0.26744216,0.0517498447,0.0561031946,10.14995517
26.60000000,4.69849659,1.01600107,-0.68275444,0.75107094,0.82509173,0.07152666,0.0590307188,0.0560885708,8.99199742
26.80000000,4.69573848,1.20144078,-0.60613573,-0.68298502,0.55646485,0.68838820,0.0595389346,0.0565716075,8.77562059
27.00000000,4.57405236,1.14748329,-0.45722095,-0.07729206,-0.91536815,0.63728100,0.0510293383,0.0563925018,9.53290078
27.20000000,4.70889186,1.02615564,-0.37370092,1.07884252,0.09979835,0.27593314,0.0551204446,0.0559701459,8.93251471
27.40000000,4.83132299,1.17329421,-0.30507931,-0.09795152,1.00994482,0.46948584,0.0621945330,0.0566189068,8.13680352
27.60000000,4.69842560,1.27536413,-0.18856551,-0.88541181,-0.22821823,0.64339906,0.0557145290,0.0564322564,8.66615148
27.80000000,4.63967680,1.12499917,-0.06688530,0.50000949,-0.82732303,0.56171799,0.0501170118,0.0565730001,9.19009276
28.00000000,4.80896390,1.10194015,0.04261136,0.72869409,0.65167807,0.54251322,0.0588080620,0.0562532419,8.32737781
28.20000000,4.81145664,1.27969081,0.14471388,-0.71815949,0.72341876,0.45925181,0.0615993710,0.0565980821,8.10296768
28.40000000,4.62620377,1.27697152,0.22887022,-0.69294127,-0.76600232,0.42787011,0.0525172990,0.0565728907,9.04657154
28.60000000,4.64741037,1.11064210,0.33958417,0.78085583,-0.39539355,0.69564941,0.0523130270,0.0565878954,9.16542978
28.80000000,4.77089108,1.18982630,0.47852374,0.06310646,0.95482099,0.57821660,0.0611389414,0.0564929125,8.40970408
29.00000000,4.64122415,1.32961358,0.54623909,-1.10781831,0.06745569,0.13486401,0.0578476215,0.0560580314,8.88207506
29.20000000,4.50156133,1.19540644,0.58753767,0.06547731,-1.02202919,0.44851872,0.0510457185,0.0568446724,9.89021634
29.40000000,4.61650242,1.12646342,0.73105669,0.57006040,0.53245248,0.80095286,0.0574940363,0.0563874787,9.30483307
29.60000000,4.58311431,1.29734327,0.82516753,-0.90623614,0.65233813,0.05648895,0.0596633949,0.0560983397,9.23078042
29.80000000,4.39636943,1.24935544,0.80585081,-0.43589206,-1.02843539,0.04815326,0.0526942824,0.0564478258,10.44683338
30.00000000,4.46583424,1.10938038,0.91250928,0.69753371,0.15067215,0.86066521,0.0556205654,0.0563265645,10.22124014
30.20000000,4.47758018,1.26743093,1.02029355,-0.72802402,0.84850394,0.00469918,0.0593856184,0.0561167737,9.86433740
30.40000000,4.29996478,1.25333949,0.96091748,-0.46764641,-0.99573244,-0.19955882,0.0534592405,0.0562334450,11.06866437
30.60000000,4.37064644,1.10751246,1.04386997,0.72145190,0.16419599,0.83818066,0.0557217024,0.0561989979,10.83055994
30.80000000,4.37947187,1.27211495,1.13028377,-0.74322500,0.80744789,-0.21364573,0.0587201601,0.0560932964,10.44465374
31.00000000,4.22934933,1.23058673,1.03665581,-0.15878910,-1.08469867,-0.21957869,0.0532948602,0.0562006531,11.61102312
31.20000000,4.33978174,1.12251124,1.12445309,0.66919980,0.50238147,0.74147452,0.0567008517,0.0560964058,10.99395190
31.40000000,4.31677124,1.30195349,1.15561445,-0.81569853,0.54172130,-0.53960533,0.0578949162,0.0560707695,10.79457424
31.60000000,4.21667224,1.20343416,1.04554995,0.31096310,-1.07250074,-0.05517333,0.0530399046,0.0561706166,11.76373970
31.80000000,4.36454628,1.16584514,1.13860095,0.50883573,0.86343150,0.49555244,0.0577960821,0.0560838800,10.73879540
32.00000000,4.30781384,1.33826332,1.10362775,-0.79215002,0.17806120,-0.76863030,0.0569792304,0.0560953574,10.79758821
32.20000000,4.26550703,1.20045405,0.99534172,0.67250190,-0.89145772,0.05517518,0.0529986789,0.0560922577,11.41819012
32.40000000,4.43268664,1.22245808,1.06909063,0.39914834,1.02053680,0.22177743,0.0586353790,0.0561257679,10.21000017
32.60000000,4.36399492,1.38153650,0.99253533,-0.73526346,0.01619337,-0.84209584,0.0565603132,0.0561750386,10.36671204
32.80000000,4.34464806,1.23793345,0.87520705,0.77209103,-0.80557275,-0.07019943,0.0525827618,0.0560573374,10.80575488
33.00000000,4.52980015,1.26514052,0.91089950,0.52266698,0.98553716,0.07440239,0.0590216165,0.0561268624,9.57643397
33.20000000,4.48195757,1.43704169,0.83086033,-0.74456534,0.22865732,-0.80208371,0.0576293980,0.0563479886,9.56543539
33.40000000,4.42046066,1.32282494,0.68675746,0.48722329,-0.92144460,-0.40441725,0.0514262132,0.0561846231,10.16555101
33.60000000,4.61094238,1.28318241,0.66462425,0.89129812,0.67425700,-0.03106663,0.0578860614,0.0559904718,9.11134961
33.80000000,4.64085299,1.47239370,0.60473312,-0.58063522,0.73681688,-0.60824634,0.0605388939,0.0566174916,8.65829867
34.00000000,4.50568847,1.45830955,0.45750242,-0.30082523,-0.81541252,-0.70328272,0.0519094286,0.0563940332,9.41254734
34.20000000,4.60635505,1.31634279,0.35967894,1.06572798,-0.12597871,-0.31361316,0.0535331937,0.0560201090,9.09388423
34.40000000,4.75516133,1.43723861,0.29304236,0.10123069,1.02792063,-0.42793866,0.0618736505,0.0564992878,8.15718308
34.60000000,4.64414071,1.56969064,0.18386976,-0.92694801,-0.00293725,-0.62510699,0.0575445591,0.0564774712,8.48815554
34.80000000,4.54797442,1.44009126,0.06155359,0.26652560,-0.92002703,-0.57664058,0.0498886941,0.0566775094,9.21087119
35.00000000,4.70423869,1.37730655,-0.05099572,0.84813085,0.46577801,-0.56011149,0.0570444710,0.0562074393,8.49092754
35.20000000,4.74315765,1.54815630,-0.15698299,-0.55552687,0.84609953,-0.47487415,0.0622425334,0.0566335067,8.05096616
35.40000000,4.56028862,1.58356154,-0.23993323,-0.85713704,-0.60138016,-0.39199232,0.0540980887,0.0563966654,8.88892451
