t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
24.60000000,4.28989290,0.91709635,-1.04768586,0.45669308,-1.01096322,-0.13922926,0.0531299262,0.0561604702,11.74880044
24.80000000,4.43643983,0.91521698,-1.15149085,0.37135059,0.98566489,-0.37491793,0.0583247782,0.0561212359,10.64829854
25.00000000,4.36047552,1.07146077,-1.08932620,-0.77076278,-0.05175795,0.80823626,0.0561877831,0.0560649393,10.95068098
25.20000000,4.34399475,0.91411738,-1.00441418,0.79052824,-0.75783793,-0.22527042,0.0534043679,0.0560549353,11.35514892
25.40000000,4.50229863,0.97125546,-1.08073255,0.24571341,1.08733674,-0.08557880,0.0590650064,0.0561846852,10.15626128
25.60000000,4.41639700,1.10612292,-0.98015569,-0.68530545,-0.22002527,0.85553803,0.0555790837,0.0561396243,10.53756786
25.80000000,4.42727877,0.94624605,-0.88611918,0.89890098,-0.65995294,-0.08024423,0.0531501983,0.0560056891,10.73486099
26.00000000,4.60361000,1.00882391,-0.92509526,0.35786249,1.05861209,0.03570562,0.0596068127,0.0562164333,9.51560964
26.20000000,4.53314083,1.15922256,-0.82261976,-0.73148320,-0.00635637,0.84551282,0.0564211537,0.0562841220,9.73664595
26.40000000,4.50252665,1.01918390,-0.69305572,0.68309859,-0.84371263,0.26744216,0.0517498453,0.0561094110,10.14995499
26.60000000,4.69849662,1.01600109,-0.68275437,0.75107091,0.82509177,0.07152672,0.0590307199,0.0560875608,8.99199724
26.80000000,4.69573850,1.20144080,-0.60613566,-0.68298505,0.55646482,0.68838820,0.0595389354,0.0565719267,8.77562046
27.00000000,4.57405238,1.14748330,-0.45722089,-0.07729208,-0.91536815,0.63728101,0.0510293388,0.0564002055,9.53290066
27.20000000,4.70889187,1.02615566,-0.37370084,1.07884251,0.09979834,0.27593320,0.0551204452,0.0559716017,8.93251462
27.40000000,4.83132300,1.17329422,-0.30507922,-0.09795152,1.00994482,0.46948585,0.0621945340,0.0566174638,8.13680344
27.60000000,4.69842561,1.27536414,-0.18856543,-0.88541186,-0.22821819,0.64339902,0.0557145300,0.0564329480,8.66615140
27.80000000,4.63967680,1.12499919,-0.06688523,0.50000942,-0.82732307,0.56171801,0.0501170123,0.0565740987,9.19009276
28.00000000,4.80896389,1.10194016,0.04261144,0.72869410,0.65167803,0.54251327,0.0588080624,0.0562538544,8.32737785
28.20000000,4.81145663,1.27969082,0.14471397,-0.71815949,0.72341879,0.45925179,0.0615993719,0.0565912764,8.10296770
28.40000000,4.62620376,1.27697154,0.22887030,-0.69294132,-0.76600231,0.42787006,0.0525173000,0.0565635367,9.04657159
28.60000000,4.64741035,1.11064211,0.33958424,0.78085580,-0.39539358,0.69564944,0.0523130276,0.0565893426,9.16542988
28.80000000,4.77089106,1.18982630,0.47852382,0.06310644,0.95482100,0.57821660,0.0611389421,0.0564867591,8.40970420
29.00000000,4.64122412,1.32961359,0.54623917,-1.10781833,0.06745565,0.13486394,0.0578476220,0.0560555303,8.88207521
29.20000000,4.50156130,1.19540644,0.58753773,0.06547736,-1.02202919,0.44851872,0.0510457193,0.0568537788,9.89021651
29.40000000,4.61650240,1.12646343,0.73105675,0.57006033,0.53245257,0.80095286,0.0574940375,0.0563850577,9.30483319
29.60000000,4.58311427,1.29734328,0.82516759,-0.90623622,0.65233804,0.05648885,0.0596633952,0.0561060689,9.23078063
29.80000000,4.39636940,1.24935543,0.80585085,-0.43589189,-1.02843547,0.04815330,0.0526942829,0.0564554520,10.44683363
30.00000000,4.46583423,1.10938039,0.91250933,0.69753367,0.15067237,0.86066522,0.0556205671,0.0563284606,10.22124020
30.20000000,4.47758014,1.26743096,1.02029358,-0.72802418,0.84850381,0.00469901,0.0593856187,0.0561242177,9.86433761
30.40000000,4.29996474,1.25333947,0.96091750,-0.46764614,-0.99573260,-0.19955872,0.0534592407,0.0562322803,11.06866465
